[0, 8, 0, 0, 0, 5, 8, 5, 0, 5];지프크락 (Zipe krock);낙엽 편지 (Piano. 김철현 of 아이언플래닛)
[4, 12, 5, 12, 7, 12, 20, 8, 2, 32];ABRY;오리의 꿈
[4, 13, 5, 0, 1, 15, 18, 8, 3, 12];주대건;후유증
[3, 8, 5, 1, 1, 10, 8, 13, 0, 0];고나영;서툴러
[3, 5, 3, 0, 4, 16, 11, 3, 4, 5];시우 (XIU);좀 더
[6, 8, 8, 4, 0, 20, 12, 13, 1, 10];빈 밤;버스가 안 왔으면 좋겠어 (Feat. 임채운)
[2, 2, 2, 3, 7, 9, 16, 0, 2, 13];김선경;유난히 빛나 (Feat. 이지은)
[3, 16, 4, 5, 2, 17, 19, 15, 2, 19];어쿠루브;비가 내리던 어느날
[22, 19, 20, 12, 14, 67, 44, 20, 6, 32];스윙스;퇴근 (Feat. 박재범, Crush)
[5, 10, 5, 4, 10, 19, 19, 0, 8, 3];윤앤진;새가 된다면
[2, 3, 3, 1, 3, 7, 8, 2, 1, 6];Wanna One (워너원);Nothing Without You (Intro.)
[8, 25, 11, 3, 17, 27, 37, 17, 6, 19];Wanna One (워너원);Beautiful
[6, 13, 7, 10, 2, 19, 18, 4, 1, 13];Wanna One (워너원);갖고 싶어
